kernelSize;density;delta
8;1;0,292714
5;1;0,291155
7;1;0,292206
4;1;0,291939
6;1;0,290601
3;1;0,289955
8;2;0,191627
6;2;0,193437
7;2;0,193424
2;1;0,287862
5;2;0,192625
4;2;0,191285
8;3;0,137051
6;3;0,138189
7;3;0,137883
3;2;0,193076
5;3;0,138267
4;3;0,136217
8;4;0,121075
7;4;0,122154
6;4;0,121205
5;4;0,121091
8;5;0,115876
2;2;0,205989
3;3;0,137295
7;5;0,116567
6;5;0,115508
4;4;0,119369
8;6;0,117045
1;1;0,273838
5;5;0,115859
7;6;0,118556
6;6;0,117434
8;7;0,091661
3;4;0,132147
4;5;0,114609
7;7;0,093201
2;3;0,147907
5;6;0,117462
6;7;0,091754
8;8;0,097505
7;8;0,098877
4;6;0,133212
8;9;0,107459
6;8;0,097473
5;7;0,091978
3;5;0,129228
7;9;0,108434
8;10;0,107204
6;9;0,107867
4;7;0,101492
5;8;0,096938
2;4;0,130997
7;10;0,108705
8;11;0,098784
3;6;0,133435
6;10;0,107621
1;2;0,153949
7;11;0,099724
8;12;0,092671
5;9;0,107792
4;8;0,110739
6;11;0,099445
8;13;0,095433
7;12;0,093361
5;10;0,125345
2;5;0,128295
3;7;0,101440
4;9;0,124581
8;14;0,089341
7;13;0,096482
6;12;0,092628
5;11;0,116553
8;15;0,092527
7;14;0,089936
6;13;0,095638
4;10;0,124500
8;16;0,087567
5;12;0,108601
3;8;0,111052
7;15;0,093123
6;14;0,089082
2;6;0,108195
8;17;0,089950
4;11;0,116161
5;13;0,113086
7;16;0,088208
6;15;0,110199
8;18;0,084168
1;3;0,194102
3;9;0,125021
7;17;0,090585
5;14;0,105564
4;12;0,107883
8;19;0,074782
6;16;0,104757
7;18;0,084877
8;20;0,083275
2;7;0,083842
5;15;0,109837
6;17;0,108053
4;13;0,112564
3;10;0,125076
7;19;0,075495
8;21;0,083138
6;18;0,101173
5;16;0,103916
8;22;0,087855
7;20;0,083642
4;14;0,104803
6;19;0,088644
3;11;0,116074
7;21;0,101228
5;17;0,107603
8;23;0,085906
2;8;0,076596
4;15;0,109368
6;20;0,100305
7;22;0,107191
8;24;0,084749
5;18;0,100954
1;4;0,269728
3;12;0,107950
8;25;0,083798
6;21;0,100534
7;23;0,105342
4;16;0,103470
5;19;0,088334
8;26;0,081165
7;24;0,104081
6;22;0,106351
2;9;0,083016
8;27;0,095928
7;25;0,102688
3;13;0,112772
5;20;0,099995
4;17;0,107086
6;23;0,104650
8;28;0,095633
7;26;0,099627
6;24;0,103412
5;21;0,100207
8;29;0,097307
4;18;0,100249
7;27;0,096683
8;30;0,093314
3;14;0,095750
6;25;0,102165
2;10;0,099812
5;22;0,106025
7;28;0,096349
8;31;0,092974
4;19;0,087654
6;26;0,099304
7;29;0,097919
8;32;0,095681
5;23;0,104429
1;5;0,326293
3;15;0,081964
7;30;0,094452
6;27;0,095913
8;33;0,092101
4;20;0,099611
5;24;0,103081
7;31;0,093628
8;34;0,094237
6;28;0,095854
2;11;0,120918
8;35;0,093379
3;16;0,071290
7;32;0,096796
4;21;0,099862
5;25;0,101779
6;29;0,097207
8;36;0,090185
7;33;0,092857
5;26;0,098675
6;30;0,093276
8;37;0,084118
4;22;0,105896
7;34;0,095308
3;17;0,064735
8;38;0,091688
2;12;0,144792
6;31;0,092960
5;27;0,095851
7;35;0,094129
8;39;0,092214
4;23;0,104215
6;32;0,095866
7;36;0,091005
5;28;0,095509
8;40;0,090612
1;6;0,365812
3;18;0,062702
6;33;0,092398
7;37;0,084979
8;41;0,093922
4;24;0,102635
5;29;0,097091
8;42;0,093718
2;13;0,167038
7;38;0,092664
6;34;0,094441
4;25;0,093170
8;43;0,092931
3;19;0,063261
7;39;0,093179
5;30;0,092915
6;35;0,093605
8;44;0,092299
7;40;0,091523
5;31;0,092559
4;26;0,084317
8;45;0,091472
6;36;0,090438
7;41;0,095035
3;20;0,067734
2;14;0,190511
8;46;0,091433
6;37;0,084441
5;32;0,095576
7;42;0,094735
4;27;0,076144
8;47;0,090599
6;38;0,092076
7;43;0,093906
5;33;0,091901
8;48;0,089667
1;7;0,394227
3;21;0,073383
4;28;0,069386
6;39;0,092354
7;44;0,093397
8;49;0,090443
5;34;0,094056
2;15;0,211285
8;50;0,089213
7;45;0,092562
6;40;0,090914
4;29;0,063951
5;35;0,093319
8;51;0,089376
3;22;0,081715
7;46;0,092276
6;41;0,094548
8;52;0,087889
7;47;0,091602
5;36;0,089970
4;30;0,059664
6;42;0,094102
8;53;0,089093
7;48;0,090572
3;23;0,090834
2;16;0,230567
8;54;0,085746
6;43;0,093397
5;37;0,084071
4;31;0,057398
7;49;0,091435
8;55;0,081686
6;44;0,092788
5;38;0,091652
7;50;0,090295
1;8;0,416890
8;56;0,087591
3;24;0,101035
4;32;0,056691
6;45;0,092047
7;51;0,090454
8;57;0,087106
5;39;0,092085
2;17;0,248233
8;58;0,087163
6;46;0,091878
7;52;0,089166
4;33;0,056142
5;40;0,086734
8;59;0,086913
3;25;0,111793
7;53;0,090031
6;47;0,091038
8;60;0,085719
5;41;0,081203
7;54;0,086886
4;34;0,057328
6;48;0,090005
8;61;0,082508
7;55;0,082640
2;18;0,264975
5;42;0,075278
3;26;0,122360
6;49;0,090964
8;62;0,088046
4;35;0,059842
7;56;0,088667
8;63;0,087741
6;50;0,089821
5;43;0,070569
1;9;0,431322
7;57;0,088102
8;64;0,087729
4;36;0,062621
3;27;0,132974
6;51;0,089908
7;58;0,088143
8;65;0,086987
5;44;0,066234
2;19;0,279987
6;52;0,088535
8;66;0,087231
7;59;0,087887
4;37;0,066556
5;45;0,062780
8;67;0,087594
6;53;0,089594
7;60;0,086652
3;28;0,144433
8;68;0,087025
5;46;0,059358
7;61;0,083522
4;38;0,071190
6;54;0,086410
8;69;0,085721
7;62;0,088821
2;20;0,294698
6;55;0,082364
5;47;0,057036
8;70;0,086126
3;29;0,154159
4;39;0,075673
7;63;0,088588
8;71;0,086410
6;56;0,088132
5;48;0,055279
7;64;0,088453
8;72;0,085801
1;10;0,443002
6;57;0,087463
4;40;0,081086
3;30;0,164333
7;65;0,087860
8;73;0,085770
5;49;0,053911
6;58;0,085308
2;21;0,306530
