kernelSize;density;delta
1;46.0;0.052235
2;100.0;0.189276
3;39.0;0.20797
4;68.0;0.197379
5;68.0;0.196921
6;68.0;0.19742
7;68.0;0.197846
8;68.0;0.196331
9;68.0;0.196556
10;68.0;0.196423
11;68.0;0.198681
12;39.0;0.186867
13;39.0;0.189065
14;52.0;0.181349
15;52.0;0.182803
16;68.0;0.17765
17;68.0;0.178605
18;68.0;0.17767
19;68.0;0.178555
20;68.0;0.17624
21;68.0;0.178618
22;68.0;0.178315
23;68.0;0.178442
24;68.0;0.178614
25;68.0;0.176387
26;68.0;0.178425
27;68.0;0.176456
28;68.0;0.180445
29;68.0;0.178281
30;68.0;0.17901
31;68.0;0.177612
32;68.0;0.177979
33;68.0;0.178231
34;68.0;0.179114
35;68.0;0.179348
36;68.0;0.182416
37;68.0;0.176257
38;68.0;0.179516
39;68.0;0.179611
40;68.0;0.177537
41;68.0;0.180082
42;68.0;0.183432
43;68.0;0.17927
44;68.0;0.183838
45;68.0;0.1779
46;68.0;0.183695
47;68.0;0.180609
48;68.0;0.187094
49;68.0;0.181359
50;68.0;0.177617
51;68.0;0.183078
52;68.0;0.180135
53;68.0;0.185836
54;68.0;0.182471
55;68.0;0.178431
56;68.0;0.186853
57;68.0;0.184334
58;68.0;0.180214
59;68.0;0.1893
60;68.0;0.185267
61;68.0;0.181066
62;68.0;0.179275
63;68.0;0.188492
64;68.0;0.185898
65;68.0;0.181377
66;68.0;0.178711
67;68.0;0.188907
68;68.0;0.186133
69;52.0;0.184335
70;52.0;0.178578
71;68.0;0.177453
72;52.0;0.190378
73;52.0;0.187775
74;68.0;0.185609
75;52.0;0.180463
76;52.0;0.181113
77;68.0;0.194377
78;68.0;0.186569
79;68.0;0.181856
80;68.0;0.179631
81;68.0;0.177615
82;68.0;0.176474
83;68.0;0.174458
84;68.0;0.186395
85;68.0;0.185456
86;68.0;0.184582
87;68.0;0.180119
88;68.0;0.179211
89;68.0;0.176
90;68.0;0.176001
91;68.0;0.190725
92;68.0;0.189121
93;68.0;0.186389
94;68.0;0.182689
95;68.0;0.181348
96;68.0;0.181178
97;68.0;0.17833
98;68.0;0.177166
99;68.0;0.174103
100;68.0;0.174444
MEAN;65.95;
MEDIAN;68.0;
